               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02628,            0.043468,           0.0047393,             0.61869,              0.6971,             0.68663,             0.52694,            0.023802,            0.033917,           0.0047249,            0.006535,            0.006535,            0.006535
                  37,            0.027296,            0.043181,           0.0046693,              0.5864,              0.7427,             0.69465,             0.52778,            0.022902,            0.033385,           0.0047476,            0.006436,            0.006436,            0.006436
                  38,            0.026053,            0.041608,           0.0044396,             0.62703,             0.73331,             0.66924,             0.49012,            0.022616,            0.033302,           0.0051577,            0.006337,            0.006337,            0.006337
                  39,            0.026039,            0.043206,           0.0042683,              0.6393,             0.67025,             0.67872,             0.52449,            0.021686,            0.032935,           0.0047365,            0.006238,            0.006238,            0.006238
                  40,            0.025535,            0.044645,           0.0042994,             0.62582,             0.72259,             0.69405,             0.52597,            0.022602,            0.033587,           0.0050057,            0.006139,            0.006139,            0.006139
                  41,            0.025803,            0.043086,           0.0041578,             0.61977,             0.77515,             0.71772,             0.55623,            0.022275,            0.033756,           0.0046199,             0.00604,             0.00604,             0.00604
                  42,            0.026042,            0.042978,            0.004095,             0.60444,             0.75049,             0.69709,             0.53223,            0.022297,            0.033078,           0.0050194,            0.005941,            0.005941,            0.005941
                  43,            0.025762,            0.043004,           0.0043319,             0.64943,             0.71516,             0.69096,             0.53634,            0.021316,            0.033062,           0.0046069,            0.005842,            0.005842,            0.005842
                  44,            0.024278,             0.04093,           0.0040523,             0.66883,             0.67161,             0.68881,             0.52903,            0.021806,            0.033304,           0.0045037,            0.005743,            0.005743,            0.005743
                  45,            0.025289,            0.041083,            0.004602,             0.58896,             0.73168,             0.67933,             0.52704,            0.021275,            0.032652,            0.004613,            0.005644,            0.005644,            0.005644
                  46,            0.024663,            0.043647,           0.0041534,             0.63796,              0.6742,             0.67308,             0.50792,             0.02128,            0.033096,           0.0048791,            0.005545,            0.005545,            0.005545
                  47,            0.024577,            0.041231,           0.0039959,             0.72135,             0.62306,             0.67943,              0.5212,            0.020494,            0.032788,           0.0049033,            0.005446,            0.005446,            0.005446
                  48,            0.024357,            0.043097,           0.0039272,             0.60074,             0.72718,             0.67577,             0.50809,            0.021397,            0.032874,           0.0047048,            0.005347,            0.005347,            0.005347
                  49,            0.024692,            0.041413,           0.0039205,             0.65913,             0.70349,             0.68255,             0.52924,            0.020882,            0.033259,           0.0047907,            0.005248,            0.005248,            0.005248
                  50,            0.023646,            0.041639,           0.0038311,              0.6245,             0.71363,             0.68802,             0.53389,            0.021017,            0.033109,            0.004623,            0.005149,            0.005149,            0.005149
                  51,            0.024223,            0.042184,           0.0037569,             0.64757,             0.69584,             0.69614,             0.53957,            0.020428,            0.032463,           0.0045627,             0.00505,             0.00505,             0.00505
                  52,             0.02377,            0.042826,            0.003725,              0.6756,             0.71449,             0.69797,             0.54665,            0.020878,            0.032968,           0.0047182,            0.004951,            0.004951,            0.004951
                  53,            0.023847,            0.040803,           0.0038916,             0.66492,             0.67271,             0.69661,             0.54527,            0.020297,            0.032874,           0.0045613,            0.004852,            0.004852,            0.004852
                  54,            0.023447,            0.041584,           0.0039048,             0.64004,             0.70527,             0.67194,             0.52252,            0.021358,            0.033734,           0.0053346,            0.004753,            0.004753,            0.004753
                  55,            0.023418,            0.040832,           0.0035201,             0.71075,             0.66956,             0.71814,              0.5631,            0.019941,            0.032586,           0.0046497,            0.004654,            0.004654,            0.004654
                  56,            0.022641,            0.040527,           0.0039426,             0.60581,             0.82185,             0.70334,             0.55528,            0.020123,            0.032433,           0.0048869,            0.004555,            0.004555,            0.004555
                  57,            0.023148,            0.040731,           0.0034038,             0.68876,             0.66239,             0.69336,             0.54277,            0.020027,            0.032499,           0.0047209,            0.004456,            0.004456,            0.004456
                  58,            0.022908,            0.040044,           0.0036183,             0.64823,             0.72138,             0.67995,             0.53604,            0.019717,            0.032387,           0.0047162,            0.004357,            0.004357,            0.004357
                  59,            0.023052,            0.041365,           0.0033496,              0.6217,             0.76851,             0.67961,             0.53371,            0.019899,            0.032278,           0.0048223,            0.004258,            0.004258,            0.004258
                  60,            0.022328,            0.040327,           0.0034675,              0.6021,             0.73962,             0.67424,             0.53498,            0.019725,            0.032437,           0.0052102,            0.004159,            0.004159,            0.004159
                  61,            0.022341,            0.040323,           0.0030896,             0.60723,             0.73463,             0.67165,             0.53108,            0.019557,            0.032354,           0.0057374,             0.00406,             0.00406,             0.00406
                  62,            0.021815,            0.039283,           0.0033584,             0.61334,             0.74214,             0.68959,              0.5489,            0.019443,            0.032544,           0.0049901,            0.003961,            0.003961,            0.003961
                  63,            0.022547,            0.041485,           0.0031744,             0.66787,             0.72612,             0.71537,             0.56407,            0.019635,            0.031856,           0.0045131,            0.003862,            0.003862,            0.003862
                  64,            0.021947,            0.040579,           0.0032459,             0.62583,             0.76281,             0.69704,             0.54534,             0.01922,            0.031773,           0.0046198,            0.003763,            0.003763,            0.003763
                  65,            0.022007,            0.040783,           0.0032338,             0.61047,             0.78268,             0.70074,             0.55548,            0.019285,            0.032194,           0.0046531,            0.003664,            0.003664,            0.003664
                  66,            0.021297,            0.038891,           0.0032979,             0.60356,             0.75455,             0.69183,             0.54797,            0.019189,            0.032762,           0.0048729,            0.003565,            0.003565,            0.003565
                  67,            0.021862,            0.038726,           0.0030161,              0.6384,             0.74912,             0.70592,             0.56576,            0.019594,            0.032417,           0.0048674,            0.003466,            0.003466,            0.003466
                  68,            0.021156,            0.038589,           0.0029289,             0.62492,             0.74943,             0.69149,             0.55353,            0.019111,            0.031924,           0.0052964,            0.003367,            0.003367,            0.003367
                  69,            0.022052,            0.041349,           0.0031726,             0.64313,             0.71023,             0.67148,             0.53166,            0.019221,            0.032129,           0.0050772,            0.003268,            0.003268,            0.003268
                  70,            0.020852,            0.038651,           0.0030154,             0.70014,             0.63376,             0.67667,             0.53256,            0.018789,            0.031757,           0.0051599,            0.003169,            0.003169,            0.003169
                  71,            0.021395,            0.039283,           0.0028775,             0.64456,             0.76084,             0.69247,              0.5486,            0.019303,            0.031776,           0.0046679,             0.00307,             0.00307,             0.00307
                  72,            0.020895,            0.039545,            0.002655,             0.62698,             0.77211,             0.70345,             0.56266,            0.018815,            0.031883,           0.0047867,            0.002971,            0.002971,            0.002971
                  73,            0.020606,             0.03921,           0.0027653,             0.64698,             0.75923,             0.71158,             0.57297,             0.01868,            0.031778,           0.0050021,            0.002872,            0.002872,            0.002872
                  74,            0.020335,            0.037879,           0.0027673,             0.70197,             0.71362,              0.7167,             0.57289,            0.018596,            0.031971,           0.0044892,            0.002773,            0.002773,            0.002773
                  75,            0.020437,            0.039151,            0.002662,             0.62418,             0.79398,             0.70827,             0.56464,             0.01869,            0.032222,           0.0050003,            0.002674,            0.002674,            0.002674
                  76,            0.019875,            0.037226,           0.0024278,             0.64225,             0.77181,             0.69669,             0.55837,            0.018512,            0.031876,           0.0050255,            0.002575,            0.002575,            0.002575
                  77,              0.0202,            0.038072,           0.0024652,             0.70187,             0.69469,              0.7022,             0.56503,            0.018704,            0.032053,           0.0049833,            0.002476,            0.002476,            0.002476
                  78,            0.019847,            0.038457,            0.002839,             0.66504,             0.70935,             0.68559,             0.55085,             0.01843,            0.031701,           0.0051292,            0.002377,            0.002377,            0.002377
                  79,            0.019993,            0.038415,           0.0027284,             0.62687,             0.75897,             0.68614,             0.55106,            0.018668,            0.031963,           0.0050172,            0.002278,            0.002278,            0.002278
                  80,            0.019744,            0.036118,           0.0027042,             0.66233,             0.71449,             0.70182,             0.57016,            0.018574,            0.032046,            0.004624,            0.002179,            0.002179,            0.002179
                  81,            0.019525,            0.037697,           0.0025462,             0.68119,             0.65494,             0.67848,             0.55155,            0.018444,            0.031919,           0.0047892,             0.00208,             0.00208,             0.00208
                  82,             0.01947,            0.037892,           0.0025457,             0.63567,             0.69336,             0.66125,             0.53432,            0.018558,            0.031991,           0.0052366,            0.001981,            0.001981,            0.001981
                  83,            0.019687,            0.038874,           0.0024884,             0.69882,             0.66171,             0.69432,              0.5632,            0.018562,             0.03221,           0.0049716,            0.001882,            0.001882,            0.001882
                  84,            0.018783,            0.035556,           0.0023149,             0.67452,             0.65235,              0.6751,             0.54612,            0.018637,             0.03213,           0.0053237,            0.001783,            0.001783,            0.001783
                  85,            0.019103,            0.036507,           0.0022242,             0.66516,             0.70521,             0.70722,             0.57497,            0.018502,            0.031939,           0.0049471,            0.001684,            0.001684,            0.001684
                  86,            0.018893,            0.036632,           0.0022491,             0.68684,             0.70389,             0.70432,             0.56603,            0.018331,             0.03181,           0.0048756,            0.001585,            0.001585,            0.001585
                  87,            0.018987,            0.036778,           0.0020547,             0.65465,              0.7158,             0.69263,             0.56307,            0.018407,            0.031954,           0.0051343,            0.001486,            0.001486,            0.001486
                  88,            0.019094,            0.038479,           0.0022295,             0.61744,              0.7403,             0.67754,             0.54933,            0.018306,            0.031843,           0.0052196,            0.001387,            0.001387,            0.001387
                  89,             0.01899,            0.037192,           0.0021172,             0.65223,             0.67485,             0.68888,             0.56286,            0.018312,            0.032171,           0.0051874,            0.001288,            0.001288,            0.001288
                  90,             0.01929,            0.037519,           0.0023258,             0.61244,             0.74816,             0.68163,             0.55403,            0.018234,            0.031977,            0.005307,            0.001189,            0.001189,            0.001189
                  91,            0.018508,             0.03521,           0.0023594,             0.62707,             0.71437,             0.67371,             0.54892,            0.018299,             0.03233,           0.0054435,             0.00109,             0.00109,             0.00109
                  92,            0.018791,            0.036242,           0.0020047,             0.67824,             0.67585,             0.68845,             0.56154,            0.018297,            0.032042,           0.0053487,            0.000991,            0.000991,            0.000991
                  93,            0.018556,            0.036375,           0.0020577,             0.70047,             0.69385,             0.70019,             0.57466,            0.018213,             0.03201,           0.0052321,            0.000892,            0.000892,            0.000892
                  94,            0.018849,            0.037078,           0.0021635,              0.6795,              0.6918,             0.68424,             0.56023,            0.018201,              0.0321,           0.0053317,            0.000793,            0.000793,            0.000793
                  95,            0.018468,            0.035375,           0.0019975,             0.68587,             0.70326,             0.69593,             0.57359,            0.018161,             0.03213,           0.0052107,            0.000694,            0.000694,            0.000694
                  96,            0.018683,            0.037153,           0.0020108,              0.6729,             0.70783,             0.68962,             0.56328,            0.018158,            0.032134,           0.0053248,            0.000595,            0.000595,            0.000595
                  97,            0.018294,             0.03701,           0.0018813,             0.65968,             0.69932,             0.68015,             0.56367,            0.018088,             0.03206,           0.0053756,            0.000496,            0.000496,            0.000496
                  98,            0.019086,            0.037066,           0.0018663,             0.67907,             0.68756,             0.68698,             0.56666,            0.018098,            0.032094,           0.0052903,            0.000397,            0.000397,            0.000397
                  99,            0.018857,            0.036565,           0.0019291,             0.68659,              0.6884,             0.69086,             0.57132,            0.018092,               0.032,           0.0052902,            0.000298,            0.000298,            0.000298
